SAP B1 - A/C Name,G/L Acct Long Text,G/L Account
Building Improvements,Buildings - Office,10003000
Provision For Dep -  Building Improvements,Buildings – Office – ADP,10003010
Plant & Machinery,Plant & Machinery - Office,10005000
Provision For Dep -  Plant & Machinery,Plant & Machinery – Office – ADP,10005010
Provision For Dep -  Plant & Machinery,Plant & Machinery - Factory,10006000
Provision For Dep -  Plant & Machinery,Plant & Machinery – Factory – ADP,10006010
Lab Equipments,Furniture & Fittings - Office,10009000
Office Equipments,Furniture & Fittings - Office,10009000
Furniture & Fittings,Furniture & Fittings - Office,10009000
Provision For Dep -  Lab Equipments,Furniture & Fittings – Office – ADP,10009010
Provision For Dep -  Office Equipments,Furniture & Fittings – Office – ADP,10009010
Provision For Dep -  Furniture & Fittings,Furniture & Fittings – Office – ADP,10009010
Provision For Dep -  Furniture & Fittings,Furniture & Fittings - Factory,10010000
Provision For Dep -  Furniture & Fittings,Furniture & Fittings – Factory – ADP,10010010
Computer & Equipments,Computers - Office,10011000
Provision For Dep -  Computer & Equipments,Computers – Office – ADP,10011010
Capital Work in Progress,Asset Under Construction (AUC),10015000
Computer Software,Purchased Software,11001000
Computer Software,Purchased Software – Accum Amortisation ,11001010
Computer Software,Software development,11002000
Provision for Amortization - Computer software,Software development – Accum Amortisation ,11002010
Intelectual Properties,Patents & Trade Marks,11003000
CWIP - Intangible Assets,Asset Under Construction (AUC),10601000
Acqisition Clearing Account,Asset Clearing Account,10016000
Provision for Amortization - Intelectual property,Patents & Trade Marks – Accum Amortisation ,11003010
Shares,Ordinary Shares in Subsidiaries,12001000
Shares,Ordinary Shares in Associate,12002000
Shares,Investment - unquoted equity,13001000
Invest in Fixed Deposits,Investment - Fixed Deposits,13002020
Debt,Investment - unquoted debt,13002030
Deffered Tax Receivable,Deferred Tax Assets,14001000
Inventory,Raw Material in Transit,15001980
Trade Debtors Control A/C,Trade receivables - Third party - Foreign,16001010
Related Party Debtors Control A/C,Trade receivables - Related Party,16001020
Related Party Debtors Control A/C,Provision for Impairment - Trade,16003000
Provision for Bad Debt,Provision for Impairment - Related Party,16003000
Provision for Bad Debt,Provision for Impairment - Non Trade,16003020
Other Advances Receivable,Other Receivables,16005020
Prepayments,Prepayments - Service Agreements and Others,17001000
ESC Receivable,ESC Claimable,17003040
Salary Advances Receivable,Advances - Salaries,17002000
Advance Payments,Advances - Trade Suppliers,17002010
Interest Receivable on Fixed Deposits,Other Receivables,16005020
Interest Receivable on Fixed Deposits,Advances - Non Trade Suppliers,17002020
FT Advance Receivable,Advances - Foreign Travel,17002030
Refundable Deposits,Refundable Deposits,17002090
Emp Deposit - Amrah Akbar,Refundable Deposits,17002090
Emp Deposit - Rasika Srilal,Refundable Deposits,17002090
CC - AA,Advances - Credit Cards,17002050
 HSBC - USD,HSBC USD  Main C/A 1-Main,19010000
 HSBC - USD,HSBC USD  Main C/A 1-Income,19010001
 HSBC - USD,HSBC USD  Main C/A 1-Outgoin,19010002
